Hiker1,Hiker2,Interaction_Count
Canary,Subaru,9
Canary,Dragon,3
Canary,Ace,47
Canary,Lean,7
Canary,Choo-Choo,1
Canary,Tally,16
Canary,Lunch,33
Canary,Bu,224
Canary,Hudson,71
Canary,HiC,38
Canary,Gandalf,5
Canary,Achin,1
Canary,Rad,21
Canary,IPOD,4
Canary,Iso,4
Canary,Squirrel,5
Canary,BULL,18
Canary,Toes,1
Canary,Zipper,1
Canary,BASA,1
Canary,Quick,37
Canary,RADAR,3
Canary,IPA,1
Canary,Billy Goat,1
Canary,Okie,23
Canary,y not,10
Canary,Beast,6
Canary,Lake,22
Canary,Hard Knocks,8
Canary,Duo,6
Canary,Why Not,10
Canary,Mark,6
Canary,Willi,3
Over Hill Over Dale,Ace,24
Over Hill Over Dale,Lean,5
Over Hill Over Dale,Lunch,9
Over Hill Over Dale,Bu,83
Over Hill Over Dale,HiC,10
Over Hill Over Dale,Rad,1
Over Hill Over Dale,Quick,5
Over Hill Over Dale,elle,2
Over Hill Over Dale,Food Bag,5
Over Hill Over Dale,Wonder,15
Over Hill Over Dale,Dot,6
Silverstreak,Ace,1
Silverstreak,Lunch,1
Silverstreak,Bu,9
Silverstreak,HiC,3
Silverstreak,Iso,2
Silverstreak,elle,3
Silverstreak,IPA,1
Silverstreak,Lake,2
Spider & ET,Indy,6
Spider & ET,Ace,402
Spider & ET,Lean,174
Spider & ET,Peregrin,5
Spider & ET,Lunch,136
Spider & ET,Bu,1891
Spider & ET,INDY,6
Spider & ET,HiC,272
Spider & ET,Lightning,11
Spider & ET,Achin,34
Spider & ET,Draggin,15
Spider & ET,Rad,57
Spider & ET,Cadi,10
Spider & ET,Iso,37
Spider & ET,Plank,92
Spider & ET,Cheerio,6
Spider & ET,Last Minute,8
Spider & ET,BULL,6
Spider & ET,Toes,19
Spider & ET,Recon,10
Spider & ET,Angel,70
Spider & ET,Moose,85
Spider & ET,Turk,34
Spider & ET,Coach,25
Spider & ET,Quick,161
Spider & ET,elle,23
Spider & ET,Wonder,97
Spider & ET,Apples,9
Spider & ET,IPA,21
Spider & ET,Foggy,10
Spider & ET,Okie,14
Spider & ET,y not,54
Spider & ET,Beast,10
Spider & ET,Lake,69
Spider & ET,Mark,160
Spider & ET,Falcon,5
Class Act,Ace,49
Class Act,Lean,25
Class Act,Tally,1
Class Act,Lunch,57
Class Act,Bu,379
Class Act,HiC,33
Class Act,Iris,5
Class Act,Achin,7
Class Act,Rad,30
Class Act,Cheerio,19
Class Act,Angel,5
Class Act,Woody,72
Class Act,Budget,4
Class Act,Quick,12
Class Act,Food Bag,5
Class Act,Foggy,4
Class Act,Wheel,10
Class Act,Okie,19
Class Act,Gaddabout,30
Class Act,Lake,2
Class Act,Optimist,5
Class Act,Mark,27
Woofie & Wooly Booly,Indy,3
Woofie & Wooly Booly,Ace,161
Woofie & Wooly Booly,Lean,20
Woofie & Wooly Booly,Magnet,4
Woofie & Wooly Booly,Tally,7
Woofie & Wooly Booly,Lunch,138
Woofie & Wooly Booly,Bu,679
Woofie & Wooly Booly,INDY,3
Woofie & Wooly Booly,HiC,84
Woofie & Wooly Booly,Lightning,8
Woofie & Wooly Booly,Draggin,4
Woofie & Wooly Booly,Rad,42
Woofie & Wooly Booly,Iso,8
Woofie & Wooly Booly,Last Minute,2
Woofie & Wooly Booly,Toes,10
Woofie & Wooly Booly,Quick,24
Woofie & Wooly Booly,elle,5
Woofie & Wooly Booly,Food Bag,23
Woofie & Wooly Booly,RADAR,27
Woofie & Wooly Booly,Wonder,31
Woofie & Wooly Booly,Okie,4
Woofie & Wooly Booly,Dot,6
Woofie & Wooly Booly,y not,7
Woofie & Wooly Booly,Lake,25
Woofie & Wooly Booly,Optimist,11
Woofie & Wooly Booly,Why Not,3
Woofie & Wooly Booly,Mark,13
Woofie & Wooly Booly,Levi,4
Woofie & Wooly Booly,Long drive ,6
Woofie & Wooly Booly,Cowboy ,7
Woofie & Wooly Booly,Cowboy,7
Woofie & Wooly Booly,Highlander,4
Woofie & Wooly Booly,Vega,4
Phaedrus,Moxie,1
Phaedrus,Indy,1
Phaedrus,Ace,4
Phaedrus,Lean,7
Phaedrus,Lunch,1
Phaedrus,Bu,21
Phaedrus,INDY,1
Phaedrus,HiC,21
Phaedrus,Iso,1
Phaedrus,BULL,1
Phaedrus,WILDCAT,1
Phaedrus,Angel,3
Phaedrus,Portage,1
Phaedrus,Quick,2
Phaedrus,Greyhound,1
Phaedrus,Lake,12
Phaedrus,Mark,1
Carmen Sandiego,Ace,7
BonBon,Rad,4
Jingle Butt,Indy,1
Jingle Butt,Ace,5
Jingle Butt,Lean,2
Jingle Butt,Tally,1
Jingle Butt,Lunch,4
Jingle Butt,Bu,56
Jingle Butt,INDY,1
Jingle Butt,HiC,20
Jingle Butt,Rad,4
Jingle Butt,Toes,1
Jingle Butt,Moose,1
Jingle Butt,Hazel,2
Jingle Butt,Turk,1
Jingle Butt,elle,1
Jingle Butt,Food Bag,1
Jingle Butt,Wonder,3
Jingle Butt,Okie,4
Jingle Butt,Lake,6
Jingle Butt,Hungry Cat,1
Jingle Butt,Mark,9
Jingle Butt,Willi,8
Conductor,Ace,7
Conductor,OAK ,1
Conductor,Bu,47
Conductor,HiC,10
Conductor,Iso,4
Conductor,Toes,2
Conductor,Angel,6
Conductor,Quick,2
Conductor,elle,6
Conductor,Nemo,4
Conductor,y not,9
Conductor,Why Not,7
Hazel,Bu,1
Budget,Lumber,3
Budget,Poppins,2
Budget,Sherpa,2
Budget,Ace,16
Budget,Lean,1
Budget,Bu,234
Budget,HiC,3
Budget,Rad,20
Budget,Angel,13
Budget,Budget,4
Budget,elle,14
Budget,Okie,14
Budget,y not,12
Budget,Eagle ,12
Budget,Mark,3
Budget,Long drive ,1
North Star,Ace,330
North Star, Machine,66
North Star,Bu,528
North Star,HiC,561
North Star,Achin,66
North Star,Rad,99
North Star,Quick,99
North Star,elle,66
North Star,Camel,33
North Star,Wonder,33
North Star,Carbo,33
North Star,Foggy,33
North Star,Okie,33
North Star,Mark,33
North Star,Levi,66
North Star,Pockets,33
Living Proof,Indy,4
Living Proof,Ace,20
Living Proof,Lean,2
Living Proof,Tally,12
Living Proof,Lunch,10
Living Proof,Bu,163
Living Proof,INDY,4
Living Proof,HiC,33
Living Proof,Achin,7
Living Proof,Rad,26
Living Proof,Toes,11
Living Proof,Angel,5
Living Proof,Quick,5
Living Proof,Food Bag,4
Living Proof,Living Proof,79
Living Proof,Stillbill,6
Living Proof,StillBill,6
Living Proof,Mark,5
Camel,nails,5
Camel,Moxie,8
Camel,Indy,14
Camel,Sherpa,12
Camel,Willow,7
Camel,Ace,106
Camel,Lean,141
Camel,Tally,8
Camel,Lunch,14
Camel,Bu,955
Camel,INDY,14
Camel,HiC,86
Camel,Lightning,9
Camel,Achin,4
Camel,Rad,29
Camel,Iso,83
Camel,Last Minute,1
Camel,Conductor,7
Camel,WILDCAT,21
Camel,Toes,31
Camel,Angel,16
Camel,Nobody,4
Camel,Moose,29
Camel,Coach,10
Camel,Budget,4
Camel,Quick,13
Camel,elle,35
Camel,Camel,10
Camel,Wonder,8
Camel,Apples,9
Camel,Okie,30
Camel,Thumper,10
Camel,y not,25
Camel,Lake,14
